index,district,ward,type_of_housing,legal_paper,price
78409,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,87.5
28000,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,125.0
34008,Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,51.4
3726,Huyện Thanh Trì,Xã Hữu Hoà,"Nhà ngõ, hẻm",Đã có sổ,69.7
16257,Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,50.0
36937,Nam Từ Liêm,Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,101.25
66441,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,83.33
35724,Bắc Từ Liêm,Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,83.33
34484,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,68.57
25964,Hoàng Mai,Định Công,Nhà phố liền kề,Đã có sổ,89.55
